frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,transfer_command_buffer_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
77,0.184929,1.754401,1.751600,1.660200,1124.000000,643020453.000000,1148928000.000000,252489728.000000,1292627968.000000,0.000800,0.000000,0.000000,0.000000,0.000000,0.381800,0.000000,0.000000,0.000000,0.006800,0.000000
78,0.187284,2.308999,2.292900,2.197400,1124.000000,643020493.000000,1148928000.000000,252489728.000000,1292627968.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.714500,0.000000,0.000000,0.000000,0.003100,0.000000
79,0.189169,1.933801,1.933900,1.829300,1124.000000,643024621.000000,1148928000.000000,252489728.000000,1292627968.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.358300,0.000000,0.000000,0.000000,0.004100,0.000000
80,0.191948,2.217496,2.033900,1.927200,1124.000000,643024653.000000,1148928000.000000,252489728.000000,1292627968.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.453900,0.000000,0.000000,0.000000,0.003000,0.000000
81,0.195411,3.996705,4.160700,3.880500,1124.000000,643035121.000000,1148928000.000000,252489728.000000,1292627968.000000,2.920300,0.051600,0.019500,2.796300,0.018600,0.010500,0.000900,0.000500,0.015900,0.006500,0.000000
82,0.197389,1.955697,1.935600,1.813800,1124.000000,643032819.000000,1148928000.000000,252489728.000000,1292632064.000000,0.000800,0.000000,0.000000,0.000000,0.000000,0.448000,0.000000,0.000000,0.000000,0.004000,0.000000
83,0.198865,1.540299,1.577100,1.451500,1124.000000,643030389.000000,1148928000.000000,252489728.000000,1292632064.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.308300,0.000000,0.000000,0.000000,0.004200,0.000000
84,0.200631,1.600900,1.522400,1.433900,1124.000000,643033669.000000,1148928000.000000,252489728.000000,1292632064.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.330500,0.000000,0.000000,0.000000,0.003000,0.000000
85,0.202219,1.725503,1.800200,1.637700,1124.000000,643037205.000000,1148928000.000000,252489728.000000,1292632064.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.292400,0.000000,0.000000,0.000000,0.005500,0.000000
86,0.203819,1.601899,1.604200,1.515600,1124.000000,643037237.000000,1148928000.000000,252489728.000000,1292632064.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.355700,0.000000,0.000000,0.000000,0.003500,0.000000
87,0.205375,1.587996,1.588700,1.505200,1124.000000,643037269.000000,1148928000.000000,252489728.000000,1292632064.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.309500,0.000000,0.000000,0.000000,0.003000,0.000000
88,0.207204,1.798299,1.784100,1.699300,1124.000000,643037301.000000,1148928000.000000,252489728.000000,1292632064.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.401400,0.000000,0.000000,0.000000,0.002800,0.000000
89,0.211869,4.652700,4.634800,4.538000,1124.000000,643044105.000000,1148928000.000000,252489728.000000,1292632064.000000,4.155500,0.050000,0.013800,4.040700,0.018000,0.009100,0.000700,0.000600,0.017300,0.003400,0.000000
90,0.213580,1.748200,1.763200,1.656600,1124.000000,643038837.000000,1148928000.000000,252489728.000000,1292632064.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.362700,0.000000,0.000000,0.000000,0.003200,0.000000
91,0.215256,1.639505,1.541200,1.454400,1124.000000,643045173.000000,1148928000.000000,252489728.000000,1292632064.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.316200,0.000000,0.000000,0.000000,0.003000,0.000000
92,0.216957,1.721499,1.793400,1.609200,1124.000000,643042981.000000,1148928000.000000,252489728.000000,1292632064.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.403700,0.000000,0.000000,0.000000,0.003800,0.000000
93,0.218769,1.825801,1.846500,1.738200,1124.000000,643041941.000000,1148928000.000000,252489728.000000,1292632064.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.343700,0.000000,0.000000,0.000000,0.003100,0.000000
94,0.220355,1.593098,1.596100,1.509700,1124.000000,643046061.000000,1148928000.000000,252489728.000000,1292632064.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.325000,0.000000,0.000000,0.000000,0.003200,0.000000
95,0.222158,1.790101,1.783000,1.699500,1124.000000,643046093.000000,1148928000.000000,252489728.000000,1292632064.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.424000,0.000000,0.000000,0.000000,0.002800,0.000000
96,0.223825,1.665200,1.670900,1.585000,1124.000000,643050213.000000,1148928000.000000,252489728.000000,1292632064.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.354900,0.000000,0.000000,0.000000,0.002500,0.000000
97,0.227651,3.808900,3.793600,3.711800,1124.000000,643057129.000000,1148928000.000000,252489728.000000,1292632064.000000,3.372500,0.052000,0.012600,3.260200,0.018400,0.008500,0.000600,0.000400,0.014600,0.002300,0.000000
98,0.229305,1.690696,1.702600,1.612700,1124.000000,643051181.000000,1148928000.000000,252489728.000000,1292636160.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.326400,0.000000,0.000000,0.000000,0.002900,0.000000
99,0.231056,1.692205,1.560900,1.485600,1124.000000,643052053.000000,1148928000.000000,252489728.000000,1292636160.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.342200,0.000000,0.000000,0.000000,0.002600,0.000000
