frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,transfer_command_buffer_ms,item_pool_initialization_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,grid_build_ms,grid_occupancy_index_ms,belt_topology_visual_ms,wait_for_job_group_ms
39,0.054250,1.011997,1.038600,0.858900,1076.000000,850164832.000000,1324570160.000000,237035520.000000,1571147776.000000,0.000600,0.000000,0.000000,0.000000,0.010000,0.000000,0.027400,0.000000,0.000000,0.000000,0.004900,0.001900,0.002300,0.006900,0.000000
40,0.055552,1.316801,1.315200,1.214200,1076.000000,850165120.000000,1324570160.000000,237035520.000000,1571147776.000000,0.301200,0.039200,0.010900,0.103100,0.008800,0.018200,0.010000,0.013300,0.019400,0.012000,0.004500,0.002000,0.002400,0.004600,0.000000
41,0.056848,1.261302,1.246100,1.142000,1076.000000,850165160.000000,1324570160.000000,237035520.000000,1571147776.000000,0.000700,0.000000,0.000000,0.000000,0.010800,0.000000,0.011300,0.000000,0.000000,0.000000,0.006300,0.001800,0.003000,0.006900,0.000000
42,0.058168,1.327601,1.316400,1.200300,1076.000000,850169696.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000600,0.000000,0.000000,0.000000,0.010700,0.000000,0.012800,0.000000,0.000000,0.000000,0.005100,0.002200,0.003100,0.007000,0.000000
43,0.059213,1.059899,1.068900,0.947600,1076.000000,850169712.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000800,0.000000,0.000000,0.000000,0.010700,0.000000,0.012400,0.000000,0.000000,0.000000,0.004300,0.002600,0.003000,0.006700,0.000000
44,0.060267,1.084800,1.094100,0.987300,1076.000000,850169456.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000900,0.000000,0.000000,0.000000,0.010300,0.000000,0.010800,0.000000,0.000000,0.000000,0.004600,0.002600,0.003100,0.006600,0.000000
45,0.061207,0.879599,0.878200,0.782100,1076.000000,850168632.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000600,0.000000,0.000000,0.000000,0.009000,0.000000,0.010100,0.000000,0.000000,0.000000,0.004200,0.002800,0.002200,0.006400,0.000000
46,0.062532,1.323902,1.291300,1.187700,1076.000000,850168656.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000700,0.000000,0.000000,0.000000,0.009300,0.000000,0.010900,0.000000,0.000000,0.000000,0.005900,0.002900,0.002600,0.007800,0.000000
47,0.063591,1.093495,1.109000,0.984400,1076.000000,850173200.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000700,0.000000,0.000000,0.000000,0.011600,0.000000,0.011600,0.000000,0.000000,0.000000,0.004900,0.003100,0.003400,0.008400,0.000000
48,0.064492,0.928401,0.936600,0.833500,1076.000000,850172800.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000800,0.000000,0.000000,0.000000,0.010500,0.000000,0.010600,0.000000,0.000000,0.000000,0.004500,0.002600,0.002800,0.007100,0.000000
49,0.065302,0.813804,0.814500,0.720800,1076.000000,850176920.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000500,0.000000,0.000000,0.000000,0.008900,0.000000,0.010700,0.000000,0.000000,0.000000,0.003700,0.001800,0.002200,0.006200,0.000000
50,0.066644,1.218197,1.137700,1.030500,1076.000000,850176944.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000600,0.000000,0.000000,0.000000,0.008200,0.000000,0.061200,0.000000,0.000000,0.000000,0.003500,0.001800,0.002200,0.006200,0.000000
51,0.067828,1.269501,1.326200,1.161800,1076.000000,850195448.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000800,0.000000,0.000000,0.000000,0.014800,0.000000,0.071200,0.000000,0.000000,0.000000,0.004500,0.002100,0.002900,0.007500,0.000000
52,0.068926,1.107497,1.074100,0.965500,1076.000000,850183352.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000700,0.000000,0.000000,0.000000,0.010700,0.000000,0.012700,0.000000,0.000000,0.000000,0.004400,0.002100,0.002600,0.007000,0.000000
53,0.070123,1.205704,1.238200,1.103700,1076.000000,850180736.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000600,0.000000,0.000000,0.000000,0.009400,0.000000,0.029800,0.000000,0.000000,0.000000,0.004100,0.001900,0.002300,0.005100,0.000000
54,0.071418,1.277799,1.156500,1.053500,1076.000000,850180776.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000600,0.000000,0.000000,0.000000,0.009800,0.000000,0.015200,0.000000,0.000000,0.000000,0.004800,0.002700,0.002400,0.006900,0.000000
55,0.072986,1.572102,1.685800,1.469300,1076.000000,850186088.000000,1324570160.000000,237035520.000000,1571213312.000000,0.320200,0.039400,0.011100,0.107600,0.009700,0.017100,0.024800,0.014200,0.019000,0.012000,0.004500,0.002000,0.002300,0.004800,0.000000
56,0.074095,1.110899,1.116900,1.014200,1076.000000,850186096.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000800,0.000000,0.000000,0.000000,0.011400,0.000000,0.024500,0.000000,0.000000,0.000000,0.004500,0.002000,0.002300,0.006400,0.000000
57,0.075247,1.163598,1.158300,1.062400,1076.000000,850185712.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000600,0.000000,0.000000,0.000000,0.008900,0.000000,0.024400,0.000000,0.000000,0.000000,0.003800,0.001800,0.002200,0.006200,0.000000
58,0.076410,1.171698,1.170800,1.073800,1076.000000,850185728.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000700,0.000000,0.000000,0.000000,0.009800,0.000000,0.023700,0.000000,0.000000,0.000000,0.004200,0.001800,0.002300,0.006600,0.000000
59,0.077888,1.404599,1.381200,1.277300,1076.000000,850185416.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000700,0.000000,0.000000,0.000000,0.008800,0.000000,0.011600,0.000000,0.000000,0.000000,0.004200,0.002400,0.002500,0.006800,0.000000
60,0.079344,1.426006,1.364300,1.247400,1076.000000,850185864.000000,1324570160.000000,237035520.000000,1571213312.000000,0.001000,0.000000,0.000000,0.000000,0.012400,0.000000,0.024800,0.000000,0.000000,0.000000,0.005300,0.002200,0.002900,0.007400,0.000000
61,0.080729,1.425694,1.492200,1.319300,1076.000000,850189136.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000800,0.000000,0.000000,0.000000,0.009300,0.000000,0.026900,0.000000,0.000000,0.000000,0.008400,0.002200,0.003100,0.008000,0.000000
62,0.082644,1.805400,1.720700,1.594900,1076.000000,850193256.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000800,0.000000,0.000000,0.000000,0.009900,0.000000,0.027000,0.000000,0.000000,0.000000,0.004700,0.002000,0.002700,0.007200,0.000000
63,0.083917,1.422102,1.499300,1.325800,1076.000000,850193704.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000800,0.000000,0.000000,0.000000,0.021100,0.000000,0.020500,0.000000,0.000000,0.000000,0.008600,0.002800,0.003900,0.010400,0.000000
