frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
111,0.104265,1.082299,1.246300,1.005700,1112.000000,843787818.000000,1318204976.000000,234864640.000000,1568686080.000000,0.249900,0.033900,0.011200,0.016400,0.009800,0.019900,0.016500,0.013600,0.003300,0.000000
112,0.105062,0.804996,0.791100,0.713300,1112.000000,843788266.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.012300,0.000000,0.000000,0.000000,0.003200,0.000000
113,0.105791,0.712904,0.727500,0.638900,1112.000000,843787890.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.012400,0.000000,0.000000,0.000000,0.003000,0.000000
114,0.107079,1.199596,1.122300,1.043300,1112.000000,843787890.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.023200,0.000000,0.000000,0.000000,0.003100,0.000000
115,0.108273,1.275106,1.333700,1.185600,1112.000000,843800378.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.011500,0.000000,0.000000,0.000000,0.004300,0.000000
116,0.109075,0.826998,0.836900,0.750300,1112.000000,843818026.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000700,0.000000,0.000000,0.000000,0.012700,0.000000,0.000000,0.000000,0.003400,0.000000
117,0.109884,0.796096,0.708400,0.633700,1112.000000,843801098.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000700,0.000000,0.000000,0.000000,0.009700,0.000000,0.000000,0.000000,0.002900,0.000000
118,0.110841,0.817907,0.824100,0.666700,1112.000000,843801122.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.010700,0.000000,0.000000,0.000000,0.003200,0.000000
119,0.111757,1.047293,1.095500,0.945300,1112.000000,843801714.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.011100,0.000000,0.000000,0.000000,0.005000,0.000000
120,0.112597,0.861005,0.886000,0.786700,1112.000000,843805834.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.011500,0.000000,0.000000,0.000000,0.003800,0.000000
